ID,items,date, Real Total ,insurance_category
70,Standard Nipples Level One - 2 Pack By Dr. Brown's; ,9/17/2013,$4.06 ,Other
71,Shrimp Bunting Costume; ,9/16/2013,$21.98 ,Other
72,Shark Bunting Costume; ,9/16/2013,$22.52 ,Other
73,Mohu Leaf Ultimate Amplified Indoor HDTV Antenna; ,9/15/2013,$77.74 ,Other
74,MAM Eco 2+ Orthodonic Pacifiers 3 Ct.; ,9/13/2013,$8.95 ,Other
75,Stretch Gaucho Pants with Banded Waist from Hot Fash Shorts - SALEEN Black; ,9/13/2013,$40.99 ,Other
76,"Dr. Brown's BPA Free Polypropylene Natural Flow Bottle Newborn Feeding Set; MAM 2 Count Night Glow in the Dark Silicone Pacifier, Blue; ",9/12/2013,$26.94 ,Other
77,Dr. Brown's BPA Free Polypropylene Natural Flow Bottle Newborn Feeding Set; ,9/6/2013,$20.17 ,Other
78,"Munchkin High Capacity Drying Rack, White; NUK Silicone Orthodontic Nipples, Medium, 0m+, 2 Pack; NUK 3 Count Trendline Tie Dye Orthodontic Bottle, Boy, 5 Ounce; ",9/5/2013,$33.93 ,Other
79,"Conair SU1W Sound Therapy, Silver; ",9/4/2013,$16.07 ,Other
80,Zenana Women's Zenana Loose Slouch Goucho Exercise and Lounge Capri Pants Large A; Zenana Women's Zenana Loose Slouch Goucho Exercise and Lounge Capri Pants Large CHARC; ,8/27/2013,$22.58 ,Other
81,Regalo Easy Step Extra Tall Walk Thru Gate - White; ,8/25/2013,$38.59 ,Other
82,"Disney Lion King ""Pride"" Cuddly Bodysuit 3-Pack, Grey/Olive/White, 3-6 Months; ",8/25/2013,$9.99 ,Other
83,"Gabrialla Breathable Elastic Abdominal Binder for Women (9"" Wide) - Black-X-Large; ",8/24/2013,$28.59 ,Other
84,"Medela Seamless Underwire Nursing Bra #36-98 (38G, Nude); ",8/17/2013,$40.70 ,Other
85,How to Shop for Free: Shopping Secrets for Smart Women Who Love to Get Something for Nothing; ,8/10/2013,$7.89 ,Other
86,"Pick Another Checkout Lane, Honey: Save Big Money & Make the Grocery Aisle your Catwalk!; ",8/10/2013,$5.49 ,Other
87,"Gabrialla Breathable Elastic Abdominal Binder for Women (9"" Wide) - Black-Large; ",8/9/2013,$28.99 ,Other
88,"Axe Shower Gel Deep Space, 16 Ounce; ",8/7/2013,$10.21 ,Other
89,"Extra Protection Shave Gel Men Shave Gel by Edge, 7 Ounce; Schick Hydro 5 Blade Razor; Bumbo Floor Seat, Blue; ",8/7/2013,$46.77 ,Other
90,On Becoming Baby Wise: Giving Your Infant the Gift of Nighttime Sleep; ,8/7/2013,$10.86 ,Other
91,San Diego Bebe Twins Nursing Breastfeeding Pillow Mocha with Waterproof Topper Cover; ,8/3/2013,$69.99 ,Other
92,Bergan Petite Gourmet Combo (Colors Vary); ,7/29/2013,$19.99 ,Other
93,"Baskerville 7-1/2-Inch Rubber Ultra Muzzle, Size-4, Black; ",7/28/2013,$16.89 ,Other
94,"Bebe Au Lait Nursing Cover, Mint Chocolate; ",7/24/2013,$19.37 ,Other
95,"USB Cable Power Adapter for Apple iPod, iPhone, iPhone 3G, iPhone 4,Touch, Shuffle, Nano, Classic (White); ",7/24/2013,$5.64 ,Other
96,6Ft USB Sync Data Charging Charger Cable Cord for Apple iPhone 4 4S 4G 4th 3 3G 3GS Gen iPod Touch Nano (Does not support All iPads); ,7/24/2013,$3.94 ,Other
97,(5 PACK) USB Sync/Charging Cable (3 ft) for Apple iPhones & iPods; ,7/24/2013,$2.76 ,Other
98,"Ace Ankle Brace One Size, 1-Count Package; ",7/11/2013,$14.01 ,Other
99,Hammocks Rada Handmade Yucatan Hammock Matrimonial Size Natural Color; ,5/9/2013,$71.46 ,Other
100,VideoSecu 100 Feet Video Power BNC RCA Cable for CCTV Security Cameras 1JE; VideoSecu 12V DC CCTV Security Camera Power Supply Adapter with 4 (2.1mm) Channel Connectors Port PW154 1I0; ,3/12/2013,$43.84 ,Other
101,SanDisk Ultra 64 GB MicroSDXC Class 10 UHS-1 Memory Card with Adapter (SDSDQU-064G-AFFP-A); ,3/10/2013,$55.43 ,Other
102,MegaGear High Quality MacBook Air 11.6-inch Masque Silver Frame Screen Protector Anti-Glare 11-inch; ,3/10/2013,$25.99 ,Other
103,"The First Years Take & Toss Toddler Bowls, 8 Ounce, 6 Pack; Gerber Graduates Grabbers, Fruit and Yogurt Tropical, 4.23 Ounce (Pack of 12); ",12/22/2014,$26.98 ,Other
104,"AC Wall to DC Car and Dual USB Charger Converter - Includes 2 USB Ports and 1 12V Cigarette Lighter Port Ideal for Charging GPS, Phones, and More While at Home; ",12/22/2014,$14.99 ,Other
105,Silicone Triangle Push-up breast Pads swimsuit and bra inserts; ,12/22/2014,$9.39 ,Other
106,"Ladies' Cotton/Spandex Fitness Pants, Color: Navy, Size: X-Large; ",12/18/2014,$22.79 ,Other
